fov,lane_index,y_center,orientation
XYPos:0,0,390,1
XYPos:0,1,1870,-1
XYPos:1,0,433,1
XYPos:1,1,1913,-1
XYPos:2,0,448,1
XYPos:2,1,1929,-1
XYPos:3,0,453,1
XYPos:3,1,1934,-1
XYPos:4,0,447,1
XYPos:4,1,1927,-1
XYPos:5,0,433,1
XYPos:5,1,1914,-1
XYPos:6,0,408,1
XYPos:6,1,1894,-1
XYPos:7,0,424,1
XYPos:7,1,1906,-1
XYPos:8,0,442,1
XYPos:8,1,1923,-1
XYPos:9,0,414,1
XYPos:9,1,1900,-1
XYPos:10,0,418,1
XYPos:10,1,1901,-1
XYPos:11,0,418,1
XYPos:11,1,1902,-1
XYPos:12,0,436,1
XYPos:12,1,1922,-1
XYPos:13,0,442,1
XYPos:13,1,1926,-1
XYPos:14,0,428,1
XYPos:14,1,1916,-1
XYPos:15,0,431,1
XYPos:15,1,1921,-1
XYPos:16,0,434,1
XYPos:16,1,1923,-1
XYPos:17,0,433,1
XYPos:17,1,1923,-1
XYPos:18,0,429,1
XYPos:18,1,1919,-1
XYPos:19,0,426,1
XYPos:19,1,1914,-1
XYPos:20,0,419,1
XYPos:20,1,1909,-1
XYPos:21,0,410,1
XYPos:21,1,1899,-1
XYPos:22,0,431,1
XYPos:22,1,1920,-1
XYPos:23,0,424,1
XYPos:23,1,1912,-1
XYPos:24,0,432,1
XYPos:24,1,1922,-1
